"Height" "Weight" "Age" "Salary" "Team" "Position" "Games played" "Minutes" "Fields goals made" "Fields goal attempted" "% Fields goal made" "3pts FGM" "3pts  FGA" "% 3pts FG" "Free throws made" "Free throws attempted" "% FT" "Off rebond" "Def rebond" "Total rebond" "Assits" "Turnover" "Steals" "Blocks" "Blocked fields goals attempted" "Personnal fouls" "Personnal fouls drawn" "Points" "Point differential of the score"
"Chris Copeland" 2.03 106.6 28 473604 "New York Knicks" "Forward" 56 15.4 3.3 6.8 0.48 1.1 2.5 0.42 1.1 1.5 0.76 0.6 1.5 2.1 0.5 0.9 0.3 0.2 0.6 1.9 1.3 8.7 0.8
"Earl Barron" 2.13 122.5 30 854389 "New York Knicks" "Center" 1 36.5 5 14 0.36 0 0 0 1 2 0.5 6 12 18 2 1 0 1 0 1 1 11 2
"Iman Shumpert" 1.96 99.8 22 1680360 "New York Knicks" "Guard" 45 22.1 2.4 6.1 0.4 1.1 2.8 0.4 0.8 1 0.77 0.7 2.3 3 1.7 0.8 1 0.2 0.4 2.2 1.4 6.8 -0.3
"J.R. Smith" 1.98 99.8 26 2806452 "New York Knicks" "Guard" 80 33.5 6.6 15.6 0.42 1.9 5.5 0.36 3 3.9 0.76 0.8 4.5 5.3 2.7 1.7 1.3 0.3 0.6 2.8 3.5 18.1 3.7
"James White" 2.01 97.5 29 854389 "New York Knicks" "Forward" 57 7.6 0.9 2 0.43 0.2 0.7 0.34 0.2 0.3 0.58 0.1 0.8 0.8 0.5 0.3 0.2 0.1 0.1 0.8 0.3 2.2 -1.5
"Jason Kidd" 1.93 96.2 39 3090000 "New York Knicks" "Guard" 76 26.9 2 5.4 0.37 1.5 4.3 0.35 0.5 0.6 0.83 0.7 3.6 4.3 3.3 1 1.6 0.3 0.1 1.6 0.8 6 2.5
"Kenyon Martin" 2.06 102.1 34 43747 "New York Knicks" "Center" 18 24 3.1 5.2 0.6 0 0 0 0.9 2.2 0.43 1.9 3.4 5.3 0.4 0.9 0.9 0.9 0.2 3.6 1.6 7.2 3.2
"Kurt Thomas" 2.06 108.9 41 1352181 "New York Knicks" "Forward" 39 10.1 1.2 2.1 0.54 0 0 1 0.2 0.3 0.46 0.6 1.7 2.3 0.5 0.2 0.3 0.4 0.1 1.3 0.5 2.5 -0.6
"Marcus Camby" 2.11 108.9 38 4590338 "New York Knicks" "Forward" 24 10.4 0.7 2.2 0.32 0 0 0 0.3 0.8 0.42 1 2.3 3.3 0.6 0.6 0.3 0.6 0.2 1.2 0.8 1.8 -0.5
"Pablo Prigioni" 1.91 83.9 35 473604 "New York Knicks" "Guard" 78 16.2 1.3 2.8 0.46 0.7 1.7 0.4 0.3 0.3 0.88 0.5 1.3 1.8 3 1.1 0.9 0 0.1 1.6 0.9 3.5 2.2
